date,sales
2024-01-01,103.97
2024-01-02,112.92
2024-01-03,124.31
2024-01-04,125.23
2024-01-05,99.93
2024-01-06,93.26
2024-01-07,111.74
2024-01-08,117.62
2024-01-09,119.68
2024-01-10,130.45
2024-01-11,113.66
2024-01-12,99.61
2024-01-13,95.83
2024-01-14,79.89
2024-01-15,91.36
2024-01-16,110.53
2024-01-17,107.96
2024-01-18,108.69
2024-01-19,84.31
2024-01-20,70.82
2024-01-21,95.73
2024-01-22,93.3
2024-01-23,107.16
2024-01-24,98.34
2024-01-25,97.92
2024-01-26,91.21
2024-01-27,74.45
2024-01-28,91.33
2024-01-29,97.28
2024-01-30,113.69
2024-01-31,116.4
2024-02-01,130.22
2024-02-02,104.48
2024-02-03,90.04
2024-02-04,109.76
2024-02-05,106.59
2024-02-06,130.82
2024-02-07,117.02
2024-02-08,114.18
2024-02-09,113.15
2024-02-10,108.74
2024-02-11,106.09
2024-02-12,114.18
2024-02-13,122.84
2024-02-14,114.55
2024-02-15,110.64
2024-02-16,97.84
2024-02-17,100.1
2024-02-18,95.69
2024-02-19,89.23
2024-02-20,116.65
2024-02-21,113.24
2024-02-22,102.58
2024-02-23,100.09
2024-02-24,95.98
2024-02-25,99.15
2024-02-26,98.16
2024-02-27,115.9
2024-02-28,125.95
2024-02-29,125.2
2024-03-01,102.85
2024-03-02,99.38
2024-03-03,97.12
2024-03-04,110.15
2024-03-05,139.73
2024-03-06,148.42
2024-03-07,129.95
2024-03-08,126.19
2024-03-09,113.16
2024-03-10,107.79
2024-03-11,126.94
2024-03-12,147.07
2024-03-13,136.04
2024-03-14,139.14
2024-03-15,90.88
2024-03-16,108.43
2024-03-17,103.59
2024-03-18,110.46
2024-03-19,123.73
2024-03-20,108.65
2024-03-21,113.67
2024-03-22,104.64
2024-03-23,105.28
2024-03-24,92.42
2024-03-25,102.48
2024-03-26,117.73
2024-03-27,133.42
2024-03-28,122.38
2024-03-29,104.53
2024-03-30,106.96
2024-03-31,108.83
2024-04-01,129.83
2024-04-02,130.4
2024-04-03,138.32
2024-04-04,131.46
2024-04-05,111.32
2024-04-06,118.35
2024-04-07,121.62
2024-04-08,131.52
2024-04-09,141.12
2024-04-10,133.94
2024-04-11,132.77
2024-04-12,119.05
2024-04-13,105.66
2024-04-14,111.92
2024-04-15,126.31
2024-04-16,148.03
2024-04-17,135.47
2024-04-18,126.43
2024-04-19,109.42
2024-04-20,85.54
2024-04-21,102.95
2024-04-22,115.15
2024-04-23,146.32
2024-04-24,128.63
2024-04-25,125.54
2024-04-26,111.28
2024-04-27,95.86
2024-04-28,119.28
2024-04-29,130.09
2024-04-30,144.43
2024-05-01,136.02
2024-05-02,148.61
2024-05-03,115.19
2024-05-04,124.76
2024-05-05,141.93
2024-05-06,129.28
2024-05-07,145.05
2024-05-08,153.5
2024-05-09,140.34
2024-05-10,118.32
2024-05-11,122.15
2024-05-12,114.66
2024-05-13,137.09
2024-05-14,135.9
2024-05-15,156.69
2024-05-16,128.05
2024-05-17,116.96
2024-05-18,116.34
2024-05-19,101.54
2024-05-20,123.93
2024-05-21,143.66
2024-05-22,123.03
2024-05-23,129.47
2024-05-24,117.71
2024-05-25,114.84
2024-05-26,103.03
2024-05-27,115.87
2024-05-28,144.36
2024-05-29,147.67
2024-05-30,141.48
2024-05-31,131.53
2024-06-01,117.41
2024-06-02,129.63
2024-06-03,143.62
2024-06-04,148.74
2024-06-05,173.35
2024-06-06,154.75
2024-06-07,128.63
2024-06-08,135.08
2024-06-09,124.3
2024-06-10,149.11
2024-06-11,162.48
2024-06-12,147.95
2024-06-13,152.34
2024-06-14,133.06
2024-06-15,126.36
2024-06-16,136.08
2024-06-17,129.08
2024-06-18,135.41
2024-06-19,136.21
2024-06-20,128.05
2024-06-21,120.73
2024-06-22,116.18
2024-06-23,119.22
2024-06-24,136.42
2024-06-25,143.08
2024-06-26,159.28
2024-06-27,139.44
2024-06-28,152.51
2024-06-29,129.94
2024-06-30,123.27
2024-07-01,135.5
2024-07-02,161.68
2024-07-03,160.71
2024-07-04,161.54
2024-07-05,147.67
2024-07-06,135.84
2024-07-07,132.76
2024-07-08,138.93
2024-07-09,158.57
2024-07-10,170.88
2024-07-11,156.3
2024-07-12,130.01
2024-07-13,131.48
2024-07-14,134.21
2024-07-15,133.93
2024-07-16,152.19
2024-07-17,152.73
2024-07-18,133.67
2024-07-19,131.65
2024-07-20,124.53
2024-07-21,131.39
2024-07-22,143.1
2024-07-23,136.03
2024-07-24,143.52
2024-07-25,148.47
2024-07-26,137.22
2024-07-27,131.14
2024-07-28,162.95
2024-07-29,150.72
2024-07-30,169.26
2024-07-31,172.92
2024-08-01,164.41
2024-08-02,145.43
2024-08-03,147.36
2024-08-04,139.07
2024-08-05,155.74
2024-08-06,165.7
2024-08-07,172.92
2024-08-08,182.04
2024-08-09,134.56
2024-08-10,145.54
2024-08-11,128.45
2024-08-12,147.53
2024-08-13,169.89
2024-08-14,162.73
2024-08-15,143.71
2024-08-16,132.0
2024-08-17,133.71
2024-08-18,124.32
2024-08-19,142.99
2024-08-20,153.14
2024-08-21,150.67
2024-08-22,165.58
2024-08-23,141.55
2024-08-24,113.61
2024-08-25,135.97
2024-08-26,142.95
2024-08-27,169.0
2024-08-28,161.03
2024-08-29,160.64
2024-08-30,154.79
2024-08-31,151.59
2024-09-01,139.73
2024-09-02,159.83
2024-09-03,171.5
2024-09-04,173.63
2024-09-05,185.08
2024-09-06,160.97
2024-09-07,138.89
2024-09-08,158.21
2024-09-09,178.24
2024-09-10,179.66
2024-09-11,160.37
2024-09-12,158.68
